,Alg,Run,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,f1,f2,f3,Nvars
0,NSGAII,1,8,32,22,41,22,45,20,45,0.19344591707278924,0.1420266723946255,0.161506849073992,0.11082315454250244,0.123848921703983,0.18049712778435203,0.07479875200893953,0.013052605418816442,-1.101782877426545,0.22738266296306475,-0.2603992167266019,16.0
0,NSGAII,1,6,32,20,43,30,13,14,45,0.03262467786267602,0.1253419525544382,0.2203686477379713,0.14911665290323958,0.1332891175581627,0.19610606747890613,0.12885974455331292,0.01429313935129318,-0.9935439886340858,0.9049299523062925,-0.435528258293098,16.0
0,NSGAII,1,6,32,20,43,30,13,14,45,0.07773911854380458,0.11879625811680052,0.2121031033084131,0.14290275740370037,0.12755250360721054,0.18790615651603756,0.11931182862767468,0.013688273876358736,-0.9950856703094005,0.9704669253139941,-0.4366960579787894,16.0
0,NSGAII,1,8,32,18,45,33,45,19,45,0.2039489973080546,0.10938440680157503,0.13647041284775432,0.21371990923715475,0.13003573507703906,0.19209548844643437,0.0005017628092365789,0.013843287472751174,-1.1482493188174696,0.2780749834358647,-0.19868950087800802,16.0
0,NSGAII,1,6,32,20,43,30,13,14,45,0.07773668825804399,0.11879254429987124,0.21212773459629905,0.14289828996770448,0.12754851605192238,0.18790028218063132,0.11930809869294405,0.013687845952583525,-0.9950853865306445,0.9704469398376903,-0.4366964393188199,16.0
0,NSGAII,1,8,32,43,45,33,43,19,45,0.1857116591368686,0.1428630778354427,0.14490244043177447,0.19497576865973204,0.14670620150232633,0.1733098241466865,5.210827535292404e-06,0.011525817459634076,-1.1810913875317692,0.46765613818823903,-0.24672713356453743,16.0
0,NSGAII,1,6,32,20,43,30,13,20,45,0.07435164744875188,0.14361781396572687,0.20456037969783794,0.13641182236025406,0.12718730701892628,0.18190584144292263,0.11876477001487458,0.013200418050705728,-1.0128422063096627,0.8581829819917438,-0.43429798410138354,16.0
0,NSGAII,1,6,32,20,45,36,43,13,45,0.055551177917705453,0.13405208442447814,0.17052134440381683,0.1264468385860089,0.13701512326174173,0.20098449873788923,0.16106093613229483,0.014367996536064753,-1.0327948817164843,0.7580194066800021,-0.43256937257311406,16.0
0,NSGAII,1,8,32,20,43,30,13,14,45,0.0777240827544708,0.11737357559558237,0.21179873233752053,0.142913214979045,0.12959647501835161,0.18787081247351897,0.11903740696470134,0.013685699876809405,-1.0048187159724549,0.801507697867232,-0.4327006887654231,16.0
0,NSGAII,1,8,32,22,45,33,45,20,45,0.19858863999440432,0.14744386512916266,0.16829785418398607,0.11482967836196732,0.16034178635920238,0.18701844208390103,0.011108110673727977,0.012371623213648042,-1.1451478492464642,0.2966202265749942,-0.22031468669344026,16.0
0,NSGAII,1,8,32,22,41,22,45,20,46,0.17002153987117283,0.12525959230841438,0.14128416985356199,0.17841759246376002,0.11175239826941415,0.15871000989264775,0.10301103774380686,0.011543659597221995,-1.0924571276660904,0.2384498427210979,-0.2992768205422577,16.0
0,NSGAII,1,6,32,20,45,20,43,13,7,0.05948082951543969,0.13521582026519607,0.22268797654149172,0.14650376647409896,0.13650782126673772,0.20000462936073599,0.08631155179047152,0.01328760478582811,-1.0610375393542244,0.6170017312670009,-0.42325748442711403,16.0
0,NSGAII,1,6,32,20,43,30,13,14,45,0.07258173184907613,0.11045862605383945,0.19808246805654323,0.19763250385112496,0.11925000975337265,0.17546680014773958,0.11382087420870235,0.012706986079601546,-1.0063105676910136,0.9509733994383667,-0.4350575878434384,16.0
0,NSGAII,1,8,32,20,45,20,43,13,43,0.03481631794967277,0.16384574790717887,0.16674279081598656,0.12293038771942211,0.1404596406997314,0.19895889096023162,0.15906562090133688,0.013180603046439952,-1.0501210242511918,0.5672754087680085,-0.42673241035246484,16.0
0,NSGAII,1,8,32,22,43,33,45,19,45,0.22011503653339246,0.11701543324399673,0.14599105074762017,0.15685585295279347,0.13917790417308765,0.2054989128069989,0.0005367674810821183,0.01480904206102845,-1.1632875946191512,0.3193124723318648,-0.23453751226774913,16.0
